town11nm,latitude,longitude
carlton in lindrick,53.349382,-1.1117948
dorchester (west dorset),50.7109324,-2.4426484
ely,52.3990199,0.262039
market weighton,53.8561845,-0.6702829
downham market,52.6025943,0.3772655
penrith,54.6639133,-2.7522047
bolsover,53.228666,-1.2912756
march,49.3597062,17.3094202
southam,52.253094,-1.3884119
royston,52.0472741,-0.0246467
studley,52.2691194,-1.8958966
irthlingborough,52.3261928,-0.6128414
freshwater,50.6814402,-1.5231372
barnoldswick,53.9170798,-2.187322
wirksworth,53.0821999,-1.5732089
dalton-in-furness,54.1576246,-3.1794018
bedlington,55.1323903,-1.5980826
brigg,53.5525329,-0.4896411
widnes,53.3646888,-2.7283328
hethersett,52.5996582,1.1771333
coningsby airfield,NA,NA
amble,55.3337748,-1.5839378
skelton (redcar and cleveland),54.5609063,-0.9839132
seaford,38.6413452,-75.6114584
ryhill,53.6244638,-1.4176768
budleigh salterton,50.6310504,-3.3299844
great dunmow,51.8733522,0.3579815
wideopen,55.045797,-1.6217734
frodsham,53.2963636,-2.7114845
rothwell,52.4225111,-0.7987301
chard,45.94409,2.47593
hook (hart),51.2863211,-0.9517458
rainworth,53.1190917,-1.1187657
beverley,53.8425488,-0.4315677
haverhill,42.7777829,-71.0767724
st leonards,-33.8225666,151.1923402
upton (wakefield),53.6137249,-1.2861785
wincanton,51.0560417,-2.4112309
chinnor,51.7013543,-0.9111593
thurcroft,53.3906324,-1.2581706
exmouth,50.6190962,-3.4146801
bolton-le-sands,54.1066832,-2.8028352
crediton,50.7895868,-3.658963
henley-on-thames,51.5375786,-0.9050287
snodland,51.3349191,0.432657
meltham,53.5918594,-1.8504515
minehead,51.2057511,-3.4783542
daventry,52.2578681,-1.1626569
keyworth,52.8726961,-1.0880921
deal,51.2239544,1.4027344
hythe,51.0691421,1.0841634
ibstock,52.6883907,-1.3987871
market deeping,52.67537,-0.3174702
horncastle,53.2087265,-0.1169525
glastonbury,51.14804,-2.716577
witham,51.8019608,0.6383746
holmes chapel,53.1987334,-2.3618459
